,G,Date,Unnamed: 2,Team,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
512,16,2024-01-13,@,Davidson,George Washington,L (1 OT),79,83,31,65,.477,8,25,.320,9,19,.474,12,40,11,6,3,13,22,,31,66,.470,13,29,.448,8,20,.400,11,34,15,7,4,13,17
513,17,2024-01-17,@,Davidson,Fordham,W,79,69,23,57,.404,6,12,.500,27,34,.794,8,34,11,9,5,11,14,,23,66,.348,7,27,.259,16,19,.842,15,43,14,10,8,13,24
514,18,2024-01-20,,Davidson,Richmond,L (1 OT),64,69,24,64,.375,8,26,.308,8,13,.615,6,36,11,4,2,11,13,,24,60,.400,7,21,.333,14,16,.875,6,41,12,9,3,6,14
515,19,2024-01-24,@,Davidson,Saint Louis,W,84,61,30,65,.462,10,29,.345,14,17,.824,7,36,14,9,1,3,15,,21,56,.375,4,26,.154,15,20,.750,7,36,10,3,0,12,15
516,20,2024-01-27,,Davidson,VCU,L,58,63,19,52,.365,4,19,.211,16,19,.842,12,37,9,3,4,10,19,,18,48,.375,10,26,.385,17,21,.810,4,24,12,9,2,6,17
517,,,,Davidson,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
518,G,Date,,Davidson,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
519,21,2024-02-04,@,Davidson,Loyola (IL),L,63,76,24,61,.393,6,23,.261,9,13,.692,6,30,8,4,6,9,17,,25,54,.463,14,28,.500,12,20,.600,6,29,21,6,4,12,16
520,22,2024-02-07,@,Davidson,Duquesne,W,72,59,23,53,.434,8,26,.308,18,20,.900,7,34,16,6,5,8,22,,21,52,.404,5,19,.263,12,20,.600,8,29,7,6,4,9,19
521,23,2024-02-10,,Davidson,George Mason,L,55,57,18,52,.346,7,27,.259,12,13,.923,9,27,11,7,4,10,15,,19,46,.413,6,16,.375,13,18,.722,9,34,8,4,2,14,16
522,24,2024-02-13,,Davidson,La Salle,W,71,56,27,65,.415,4,19,.211,13,18,.722,11,41,11,10,8,7,15,,22,59,.373,4,19,.211,8,12,.667,6,33,7,3,2,12,17
523,25,2024-02-17,@,Davidson,St. Bonaventure,L (1 OT),80,81,29,59,.492,9,24,.375,13,18,.722,9,28,14,6,1,13,21,,26,46,.565,6,15,.400,23,30,.767,4,25,14,9,3,12,18
524,26,2024-02-20,,Davidson,Fordham,W,68,53,22,48,.458,6,16,.375,18,26,.692,5,32,11,6,4,7,15,,18,55,.327,6,27,.222,11,17,.647,11,33,10,4,3,10,20
525,27,2024-02-24,@,Davidson,Richmond,L,63,66,22,54,.407,6,22,.273,13,17,.765,10,36,10,5,0,13,18,,21,51,.412,7,21,.333,17,22,.773,5,29,13,8,3,9,15
526,28,2024-02-27,@,Davidson,Dayton,L,66,80,22,58,.379,8,27,.296,14,16,.875,5,25,15,8,3,7,11,,29,54,.537,12,28,.429,10,12,.833,4,33,17,7,6,13,13
527,29,2024-03-02,,Davidson,UMass,L,67,69,27,56,.482,2,14,.143,11,17,.647,5,29,15,4,13,10,18,,24,67,.358,5,24,.208,16,23,.696,18,42,8,4,4,9,16
528,30,2024-03-06,,Davidson,Loyola (IL),L,59,69,21,55,.382,5,16,.313,12,17,.706,4,29,11,6,2,10,18,,24,53,.453,9,23,.391,12,21,.571,6,33,13,8,7,11,20
529,31,2024-03-09,@,Davidson,St. Joseph's,L,71,89,27,67,.403,6,24,.250,11,12,.917,10,30,13,9,6,10,20,,28,59,.475,10,24,.417,23,31,.742,10,34,15,7,4,11,14
530,32,2024-03-12,N,Davidson,Fordham,L (1 OT),63,71,22,49,.449,5,17,.294,14,21,.667,3,27,12,7,10,19,18,,24,68,.353,6,24,.250,17,24,.708,18,38,13,12,4,14,18
